user_id,cohort_month,join_date,period,is_active,revenue
0,2023-01-01,2023-01-01,0,1,15
0,2023-01-01,2023-01-01,1,1,13
0,2023-01-01,2023-01-01,2,1,10
0,2023-01-01,2023-01-01,3,0,0
0,2023-01-01,2023-01-01,4,1,3
0,2023-01-01,2023-01-01,5,0,0
0,2023-01-01,2023-01-01,6,0,0
0,2023-01-01,2023-01-01,7,0,0
0,2023-01-01,2023-01-01,8,0,0
0,2023-01-01,2023-01-01,9,0,0
1,2023-08-01,2023-08-01,0,1,9
1,2023-08-01,2023-08-01,1,1,5
1,2023-08-01,2023-08-01,2,1,8
2,2023-07-01,2023-07-01,0,1,12
2,2023-07-01,2023-07-01,1,1,10
2,2023-07-01,2023-07-01,2,0,0
2,2023-07-01,2023-07-01,3,1,6
3,2023-05-01,2023-05-01,0,1,9
3,2023-05-01,2023-05-01,1,1,9
3,2023-05-01,2023-05-01,2,0,0
3,2023-05-01,2023-05-01,3,0,0
3,2023-05-01,2023-05-01,4,1,3
3,2023-05-01,2023-05-01,5,0,0
4,2023-05-01,2023-05-01,0,1,10
4,2023-05-01,2023-05-01,1,1,5
4,2023-05-01,2023-05-01,2,1,11
4,2023-05-01,2023-05-01,3,1,13
4,2023-05-01,2023-05-01,4,0,0
4,2023-05-01,2023-05-01,5,0,0
5,2023-09-01,2023-09-01,0,1,8
5,2023-09-01,2023-09-01,1,1,8
6,2023-01-01,2023-01-01,0,1,10
6,2023-01-01,2023-01-01,1,1,15
6,2023-01-01,2023-01-01,2,0,0
6,2023-01-01,2023-01-01,3,0,0
6,2023-01-01,2023-01-01,4,0,0
6,2023-01-01,2023-01-01,5,0,0
6,2023-01-01,2023-01-01,6,1,9
6,2023-01-01,2023-01-01,7,0,0
6,2023-01-01,2023-01-01,8,0,0
6,2023-01-01,2023-01-01,9,0,0
7,2023-07-01,2023-07-01,0,1,12
7,2023-07-01,2023-07-01,1,1,11
7,2023-07-01,2023-07-01,2,1,14
7,2023-07-01,2023-07-01,3,1,9
8,2023-03-01,2023-03-01,0,1,12
8,2023-03-01,2023-03-01,1,1,6
8,2023-03-01,2023-03-01,2,1,9
8,2023-03-01,2023-03-01,3,0,0
8,2023-03-01,2023-03-01,4,0,0
8,2023-03-01,2023-03-01,5,1,3
8,2023-03-01,2023-03-01,6,0,0
8,2023-03-01,2023-03-01,7,0,0
9,2023-01-01,2023-01-01,0,1,12
9,2023-01-01,2023-01-01,1,0,0
